sourceSeries,sourceLensDir,focalMm,mappingStatus,mappingNote,lensScopeIndex,lensScopeMaker,lensScopeName,legacyNameTypoSuspected,hasCalibrationCsv
ARRI:ZEISS Master Anamorphic, 100mm T1.9,100.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Anamorphic, 135mm T1.9,135.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Anamorphic, 180mm T2.8,180.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Anamorphic,28mm_T1.9,28.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Anamorphic,35mm_T1.9,35.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Anamorphic,40mm_T1.9,40.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Anamorphic,50mm_T1.9,50.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Anamorphic,60mm_T1.9,60.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Anamorphic,75mm_T1.9,75.0,AUTO,series+focal family exact,42,ARRI / ZEISS,Master Anamorphic 2x,False,True
ARRI:ZEISS Master Prime, 100mm T1.3,100.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime, 135mm T1.3,135.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime, 150mm T1.3,150.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,12mm_T1.3,12.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,14mm_T1.3,14.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,16mm_T1.3,16.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,18mm_T1.3,18.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,21mm_T1.3,21.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,25mm_T1.3,25.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,27mm_T1.3,27.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,32mm_T1.3,32.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,35mm_T1.3,35.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,40mm_T1.3,40.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,50mm_T1.3,50.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,65mm_T1.3,65.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Master Prime,75mm_T1.3,75.0,AUTO,series exact,7,ARRI / ZEISS,Master Prime,False,True
ARRI:ZEISS Ultra Prime, 100mm T1.9,100.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime, 135mm T1.9,135.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime, 180mm T1.9,180.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,14mm_T1.9,14.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,16mm_T1.9,16.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,20mm_T1.9,20.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,24mm_T1.9,24.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,28mm_T1.9,28.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,32mm_T1.9,32.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,40mm_T1.9,40.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,50mm_T1.9,50.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,65mm_T1.9,65.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
ARRI:ZEISS Ultra Prime,85mm_T1.9,85.0,AUTO,series exact,8,ARRI / ZEISS,Ultra Prime,False,True
Alura,18-80mm_T2.6_18mm,18.0,AUTO,range exact,72,ARRI / FUJINON,Alura Studio Zoom 18-80 T2.6,False,True
Alura,18-80mm_T2.6_22mm,22.0,AUTO,range exact,72,ARRI / FUJINON,Alura Studio Zoom 18-80 T2.6,False,True
Alura,18-80mm_T2.6_25mm,25.0,AUTO,range exact,72,ARRI / FUJINON,Alura Studio Zoom 18-80 T2.6,False,True
Alura,18-80mm_T2.6_30mm,30.0,AUTO,range exact,72,ARRI / FUJINON,Alura Studio Zoom 18-80 T2.6,False,True
Alura,18-80mm_T2.6_35mm,35.0,AUTO,range exact,72,ARRI / FUJINON,Alura Studio Zoom 18-80 T2.6,False,True
Alura,18-80mm_T2.6_40mm,40.0,AUTO,range exact,72,ARRI / FUJINON,Alura Studio Zoom 18-80 T2.6,False,True
